word,count
people,56
community,54
us,31
social,29
help,25
global,23
infrastructure,22
many,22
world,22
facebook,20
share,19
building,19
around,18
like,18
important,16
content,15
new,15
groups,15
communities,15
build,15
even,14
together,14
friends,14
must,13
want,13
across,13
local,12
need,11
see,11
work,10
safe,10
one,10
standards,10
common,10
tools,9
connect,9
built,9
also,9
part,9
news,9
come,9
issues,8
every,8
hope,8
may,8
personal,8
civic,8
always,8
greatest,8
different,8
opportunity,8
whether,8
system,7
positive,7
two,7
information,7
media,7
group,7
safety,7
make,7
take,7
cultural,7
collective,7
support,7
existing,6
past,6
give,6
reflect,6
way,6
norms,6
strengthen,6
find,6
reading,6
taking,6
informed,6
largest,6
often,6
connecting,6
sensationalism,6
physical,6
helps,5
use,5
process,5
taken,5
keeping,5
something,5
keep,5
meaningful,5
since,5
millions,5
seen,5
online,5
worldwide,5
sometimes,5
going,5
would,5
create,5
quickly,5
well,5
identify,5
know,5
power,5
made,5
videos,5
ai,5
diversity,5
focus,4
tv,4
bringing,4
governments,4
large,4
team,4
giving,4
ever,4
public,4
experience,4
suggests,4
organizations,4
could,4
years,4
already,4
might,4
greater,4
everyone,4
idea,4
related,4
society,4
million,4
improving,4
engagement,4
ideas,4
show,4
bring,4
participate,4
impact,4
based,4
representatives,4
progress,4
cities,4
look,4
developing,4
voice,4
good,4
discourse,4
person,4
without,4
less,4
questions,4
real,4
towards,4
examples,4
become,4
perspectives,4
favorite,4
range,4
rebuild,4
political,4
long,4
check,4
time,4
helping,4
billion,4
number,3
little,3
prevent,3
sign,3
video,3
told,3
understanding,3
reported,3
explore,3
usually,3
named,3
sports,3
today,3
cases,3
values,3
dedicated,3
sense,3
provide,3
democratic,3
including,3
emphasize,3
someone,3
effects,3
challenges,3
bad,3
research,3
story,3
members,3
messages,3
think,3
vote,3
errors,3
anyone,3
nudity,3
reflecting,3
believe,3
objectionable,3
able,3
polarization,3
plan,3
clear,3
voting,3
approach,3
set,3
still,3
ways,3
review,3
recently,3
last,3
others,3
understand,3
child,3
country,3
almost,3
engaged,3
things,3
opinions,3
majority,3
humanity,3
works,3
supportive,3
participation,3
year,3
next,3
becoming,3
best,3
stories,3
strengthening,3
inclusive,3
contribute,3
single,3
started,3
problems,3
requires,3
activated,2
helped,2
hate,2
protest,2
opportunities,2
terror,2
resources,2
affect,2
vast,2
guiding,2
shows,2
spiritual,2
smaller,2
leaders,2
direct,2
likely,2
saw,2
networks,2
current,2
learned,2
increasing,2
evolving,2
relationships,2
empower,2
lack,2
focused,2
path,2
strong,2
ahead,2
healthy,2
larger,2
diagnosed,2
options,2
uniquely,2
family,2
governance,2
live,2
call,2
tell,2
accuracy,2
hold,2
effort,2
graphic,2
meet,2
history,2
pieces,2
states,2
needs,2
united,2
goal,2
instead,2
okay,2
capture,2
membership,2
coming,2
grow,2
man,2
natural,2
register,2
complexity,2
responsibility,2
sexually,2
committed,2
actually,2
better,2
systems,2
easier,2
views,2
processes,2
nation,2
half,2
discuss,2
bigger,2
term,2
war,2
establishing,2
positioned,2
measure,2
beyond,2
looking,2
encourage,2
internet,2
get,2
free,2
completely,2
care,2
refugee,2
times,2
enough,2
major,2
striking,2
feel,2
done,2
least,2
polarized,2
require,2
matter,2
historical,2
mitigating,2
voices,2
sure,2
reach,2
connected,2
services,2
mitigate,2
industry,2
disease,2
traditional,2
institutions,2
controls,2
black,2
shared,2
areas,2
countries,2
intelligence,2
reinforce,2
ability,2
threats,2
artificial,2
rebuilds,2
responses,2
improve,2
climate,2
enabling,2
connection,2
let,2
whole,2
among,2
decline,2
encryption,2
increase,2
much,2
dialogue,2
enable,2
families,2
whatever,2
engage,2
eventually,2
technology,2
worry,2
terrorist,2
develop,2
reminded,2
speech,2
terrorism,2
events,2
evolve,2
purpose,2
fighting,2
directly,2
solve,2
left,2
photo,2
starting,2
violent,2
using,2
spread,2
parents,2
whatsapp,2
save,2
showing,2
possible,2
sensational,2
necessary,2
fully,2
tribes,2
making,2
right,2
exposes,2
scale,2
comments,2
continue,2
provides,2
steps,2
update,2
viewpoints,2
although,2
post,2
getting,2
refugees,2
citizens,2
commit,2
communication,2
within,2
billions,2
fabric,2
fight,2
start,2
lot,2
forward,2
cultures,2
newsworthy,2
medium,2
complete,2
line,2
raising,2
never,2
prevents,2
historically,2
emotional,2
similar,2
election,2
diverse,2
compared,2
shown,2
journey,2
suited,2
depicting,2
happening,2
photos,2
daily,2
monis,2
lives,2
limited,1
modi,1
reviewers,1
